"order_id","date","customer_name","region","product","category","quantity","unit_price","before_discount_amount","discount_amount","discount_percentage","sales_amount","value_cheking"
"ORD0002","2023-05-29","Customer_95","West","Notebook","Office Supplies",4,"2668.00","10672.00","426.88","0.0400","10245.12","correct"
"ORD0003","2024-10-06","Customer_38","East","Mobile","Electronics",6,"4136.00","24816.00","744.48","0.0300","24071.52","correct"
"ORD0004","2024-01-11","Customer_107","West","Pen","Office Supplies",7,"4733.00","33131.00","1987.86","0.0600","31143.14","correct"
"ORD0005","2023-09-16","Customer_64","North","Laptop","Electronics",8,"3112.00","24896.00","5477.12","0.2200","19418.88","correct"
"ORD0006","2023-08-17","Customer_63","East","Notebook","Office Supplies",7,"1682.00","11774.00","0.00","0.0000","11774.00","correct"
"ORD0007","2023-05-27","Customer_43","South","Stapler","Office Supplies",7,"3855.00","26985.00","7285.95","0.2700","19699.05","correct"
"ORD0008","2023-04-27","Customer_128","West","Pen","Office Supplies",8,"3992.00","31936.00","5429.12","0.1700","26506.88","correct"
"ORD0009","2024-04-26","Customer_179","West","Chair","Furniture",6,"2570.00","15420.00","2004.60","0.1300","13415.40","correct"
"ORD0010","2024-10-07","Customer_40","North","Printer","Electronics",8,"4674.00","37392.00","747.84","0.0200","36644.16","correct"
"ORD0011","2023-01-27","Customer_13","North","Chair","Furniture",9,"4520.00","40680.00","5695.20","0.1400","34984.80","correct"
"ORD0012","2024-09-23","Customer_166","West","Monitor","Electronics",6,"2971.00","17826.00","0.00","0.0000","17826.00","correct"
"ORD0013","2023-04-21","Customer_94","West","Mobile","Electronics",7,"2225.00","15575.00","3115.00","0.2000","12460.00","correct"
"ORD0014","2024-04-25","Customer_198","West","Cabinet","Furniture",1,"3192.00","3192.00","861.84","0.2700","2330.16","correct"
"ORD0015","2023-12-20","Customer_20","North","Desk","Furniture",2,"1886.00","3772.00","490.36","0.1300","3281.64","correct"
"ORD0016","2023-10-16","Customer_23","North","Desk","Furniture",1,"2301.00","2301.00","92.04","0.0400","2208.96","correct"
"ORD0017","2024-01-23","Customer_38","East","Pen","Office Supplies",2,"3012.00","6024.00","903.60","0.1500","5120.40","correct"
"ORD0018","2024-08-01","Customer_42","West","Stapler","Office Supplies",7,"2153.00","15071.00","1959.23","0.1300","13111.77","correct"
"ORD0019","2024-01-08","Customer_65","West","Monitor","Electronics",5,"4758.00","23790.00","237.90","0.0100","23552.10","correct"
"ORD0020","2024-10-05","Customer_135","West","Monitor","Electronics",10,"1265.00","12650.00","885.50","0.0700","11764.50","correct"
"ORD0021","2024-04-14","Customer_64","North","Laptop","Electronics",2,"2634.00","5268.00","842.88","0.1600","4425.12","correct"
"ORD0022","2023-08-30","Customer_147","North","Mobile","Electronics",9,"4148.00","37332.00","2613.24","0.0700","34718.76","correct"
"ORD0023","2023-03-02","Customer_104","West","Mobile","Electronics",10,"4701.00","47010.00","6581.40","0.1400","40428.60","correct"
"ORD0024","2023-08-26","Customer_193","South","Cabinet","Furniture",5,"670.00","3350.00","904.50","0.2700","2445.50","correct"
"ORD0025","2023-09-28","Customer_7","East","Notebook","Office Supplies",7,"1899.00","13293.00","1595.16","0.1200","11697.84","correct"
"ORD0026","2023-08-15","Customer_180","East","Laptop","Electronics",7,"1974.00","13818.00","1934.52","0.1400","11883.48","correct"
"ORD0027","2024-01-11","Customer_10","West","Pen","Office Supplies",7,"1936.00","13552.00","813.12","0.0600","12738.88","correct"
"ORD0028","2024-08-21","Customer_79","West","Mobile","Electronics",10,"1037.00","10370.00","2385.10","0.2300","7984.90","correct"
"ORD0029","2023-09-29","Customer_184","West","File","Office Supplies",5,"1125.00","5625.00","1237.50","0.2200","4387.50","correct"
"ORD0030","2023-11-10","Customer_196","West","Laptop","Electronics",2,"122.00","244.00","68.32","0.2800","175.68","correct"
"ORD0031","2024-03-15","Customer_150","North","Pen","Office Supplies",7,"3159.00","22113.00","4201.47","0.1900","17911.53","correct"
"ORD0032","2024-08-26","Customer_26","West","Notebook","Office Supplies",9,"1039.00","9351.00","1589.67","0.1700","7761.33","correct"
"ORD0033","2023-02-12","Customer_155","South","Table","Furniture",6,"1458.00","8748.00","2274.48","0.2600","6473.52","correct"
"ORD0034","2024-04-10","Customer_91","North","Notebook","Office Supplies",9,"1302.00","11718.00","1757.70","0.1500","9960.30","correct"
"ORD0035","2024-10-17","Customer_154","West","Notebook","Office Supplies",2,"2606.00","5212.00","208.48","0.0400","5003.52","correct"
"ORD0036","2023-04-17","Customer_7","East","Stapler","Office Supplies",4,"3901.00","15604.00","2808.72","0.1800","12795.28","correct"
"ORD0037","2024-05-03","Customer_172","South","File","Office Supplies",5,"4368.00","21840.00","655.20","0.0300","21184.80","correct"
"ORD0038","2023-10-18","Customer_59","South","Notebook","Office Supplies",6,"1133.00","6798.00","339.90","0.0500","6458.10","correct"
"ORD0039","2023-09-09","Customer_2","West","Desk","Furniture",6,"4094.00","24564.00","4175.88","0.1700","20388.12","correct"
"ORD0040","2023-07-28","Customer_200","West","Stapler","Office Supplies",7,"646.00","4522.00","768.74","0.1700","3753.26","correct"
"ORD0041","2024-02-20","Customer_5","North","Laptop","Electronics",3,"4095.00","12285.00","2088.45","0.1700","10196.55","correct"
"ORD0042","2024-05-11","Customer_85","West","Cabinet","Furniture",3,"2407.00","7221.00","649.89","0.0900","6571.11","correct"
"ORD0043","2023-08-23","Customer_88","South","Pen","Office Supplies",7,"1982.00","13874.00","3607.24","0.2600","10266.76","correct"
"ORD0044","2023-06-26","Customer_129","West","Mobile","Electronics",2,"953.00","1906.00","57.18","0.0300","1848.82","correct"
"ORD0045","2023-11-18","Customer_181","West","Notebook","Office Supplies",3,"122.00","366.00","91.50","0.2500","274.50","correct"
"ORD0046","2024-12-03","Customer_70","East","Mobile","Electronics",2,"4674.00","9348.00","2056.56","0.2200","7291.44","correct"
"ORD0047","2023-12-19","Customer_46","East","Table","Furniture",3,"572.00","1716.00","394.68","0.2300","1321.32","correct"
"ORD0048","2023-09-06","Customer_187","South","Chair","Furniture",7,"2260.00","15820.00","1582.00","0.1000","14238.00","correct"
"ORD0049","2024-10-02","Customer_92","East","Desk","Furniture",7,"3283.00","22981.00","919.24","0.0400","22061.76","correct"
"ORD0050","2024-05-12","Customer_70","East","Pen","Office Supplies",2,"4963.00","9926.00","2878.54","0.2900","7047.46","correct"
"ORD0051","2024-09-13","Customer_11","South","Monitor","Electronics",5,"2765.00","13825.00","1520.75","0.1100","12304.25","correct"
"ORD0052","2024-09-02","Customer_155","South","Cabinet","Furniture",6,"2532.00","15192.00","2582.64","0.1700","12609.36","correct"
"ORD0053","2023-02-25","Customer_123","North","Desk","Furniture",2,"3878.00","7756.00","2326.80","0.3000","5429.20","correct"
"ORD0054","2023-12-15","Customer_190","West","Chair","Furniture",4,"1096.00","4384.00","394.56","0.0900","3989.44","correct"
"ORD0055","2023-02-21","Customer_61","East","Monitor","Electronics",4,"1073.00","4292.00","729.64","0.1700","3562.36","correct"
"ORD0056","2024-03-14","Customer_50","North","Notebook","Office Supplies",7,"620.00","4340.00","520.80","0.1200","3819.20","correct"
"ORD0057","2024-04-10","Customer_72","East","Table","Furniture",4,"205.00","820.00","106.60","0.1300","713.40","correct"
"ORD0058","2024-09-18","Customer_35","West","Notebook","Office Supplies",9,"1330.00","11970.00","1556.10","0.1300","10413.90","correct"
"ORD0059","2023-10-08","Customer_43","South","Printer","Electronics",8,"4826.00","38608.00","3088.64","0.0800","35519.36","correct"
"ORD0060","2023-02-26","Customer_62","East","Pen","Office Supplies",9,"391.00","3519.00","211.14","0.0600","3307.86","correct"
"ORD0061","2024-01-06","Customer_161","North","Pen","Office Supplies",5,"4549.00","22745.00","1592.15","0.0700","21152.85","correct"
"ORD0062","2024-08-28","Customer_183","West","Cabinet","Furniture",2,"1604.00","3208.00","866.16","0.2700","2341.84","correct"
"ORD0063","2024-11-05","Customer_169","North","Table","Furniture",5,"3405.00","17025.00","510.75","0.0300","16514.25","correct"
"ORD0064","2023-04-27","Customer_35","West","Mobile","Electronics",10,"2943.00","29430.00","5297.40","0.1800","24132.60","correct"
"ORD0065","2024-02-07","Customer_153","West","Monitor","Electronics",3,"535.00","1605.00","112.35","0.0700","1492.65","correct"
"ORD0066","2023-12-20","Customer_175","North","Printer","Electronics",6,"3285.00","19710.00","2562.30","0.1300","17147.70","correct"
"ORD0067","2023-04-17","Customer_152","North","Printer","Electronics",7,"2794.00","19558.00","4498.34","0.2300","15059.66","correct"
"ORD0068","2023-05-08","Customer_33","East","Printer","Electronics",6,"3576.00","21456.00","643.68","0.0300","20812.32","correct"
"ORD0069","2024-03-22","Customer_4","West","Cabinet","Furniture",9,"4043.00","36387.00","8732.88","0.2400","27654.12","correct"
"ORD0070","2023-11-03","Customer_173","North","Desk","Furniture",7,"2746.00","19222.00","4997.72","0.2600","14224.28","correct"
"ORD0071","2024-03-01","Customer_117","West","Notebook","Office Supplies",9,"194.00","1746.00","436.50","0.2500","1309.50","correct"
"ORD0072","2023-02-04","Customer_22","North","Desk","Furniture",2,"2796.00","5592.00","838.80","0.1500","4753.20","correct"
"ORD0073","2024-03-11","Customer_145","North","Pen","Office Supplies",7,"2663.00","18641.00","5405.89","0.2900","13235.11","correct"
"ORD0074","2024-08-16","Customer_163","East","File","Office Supplies",10,"1198.00","11980.00","2875.20","0.2400","9104.80","correct"
"ORD0075","2024-11-02","Customer_62","East","Pen","Office Supplies",3,"3319.00","9957.00","2090.97","0.2100","7866.03","correct"
"ORD0076","2023-10-12","Customer_56","West","Chair","Furniture",4,"785.00","3140.00","942.00","0.3000","2198.00","correct"
"ORD0077","2023-08-23","Customer_12","West","Notebook","Office Supplies",3,"1314.00","3942.00","512.46","0.1300","3429.54","correct"
"ORD0078","2023-02-08","Customer_180","East","Table","Furniture",7,"2039.00","14273.00","3425.52","0.2400","10847.48","correct"
"ORD0079","2024-12-11","Customer_106","West","Monitor","Electronics",6,"3376.00","20256.00","810.24","0.0400","19445.76","correct"
"ORD0080","2024-05-14","Customer_26","West","Mobile","Electronics",5,"1675.00","8375.00","1758.75","0.2100","6616.25","correct"
"ORD0081","2023-10-07","Customer_56","West","Laptop","Electronics",10,"848.00","8480.00","932.80","0.1100","7547.20","correct"
"ORD0082","2024-03-23","Customer_152","North","Monitor","Electronics",8,"3138.00","25104.00","5522.88","0.2200","19581.12","correct"
"ORD0083","2023-03-12","Customer_48","North","Chair","Furniture",7,"1111.00","7777.00","155.54","0.0200","7621.46","correct"
"ORD0084","2024-08-18","Customer_125","South","Notebook","Office Supplies",2,"1059.00","2118.00","465.96","0.2200","1652.04","correct"
"ORD0085","2023-11-21","Customer_140","North","Printer","Electronics",9,"1864.00","16776.00","4529.52","0.2700","12246.48","correct"
"ORD0086","2023-06-24","Customer_174","West","Pen","Office Supplies",1,"3277.00","3277.00","917.56","0.2800","2359.44","correct"
"ORD0087","2024-08-21","Customer_124","South","Monitor","Electronics",8,"3003.00","24024.00","6966.96","0.2900","17057.04","correct"
"ORD0088","2023-10-27","Customer_200","West","File","Office Supplies",6,"4311.00","25866.00","2327.94","0.0900","23538.06","correct"
"ORD0089","2024-11-17","Customer_53","North","Chair","Furniture",5,"1556.00","7780.00","2100.60","0.2700","5679.40","correct"
"ORD0090","2024-12-22","Customer_137","South","Monitor","Electronics",7,"1805.00","12635.00","126.35","0.0100","12508.65","correct"
"ORD0091","2024-11-28","Customer_188","West","Cabinet","Furniture",9,"3542.00","31878.00","5738.04","0.1800","26139.96","correct"
"ORD0092","2024-02-14","Customer_135","West","Printer","Electronics",9,"420.00","3780.00","75.60","0.0200","3704.40","correct"
"ORD0093","2024-03-21","Customer_42","West","Cabinet","Furniture",5,"3458.00","17290.00","518.70","0.0300","16771.30","correct"
"ORD0094","2024-01-25","Customer_174","West","Laptop","Electronics",5,"3302.00","16510.00","3962.40","0.2400","12547.60","correct"
"ORD0095","2023-03-16","Customer_3","North","Mobile","Electronics",8,"4836.00","38688.00","773.76","0.0200","37914.24","correct"
"ORD0096","2024-08-10","Customer_42","West","Laptop","Electronics",8,"886.00","7088.00","1984.64","0.2800","5103.36","correct"
"ORD0097","2023-04-09","Customer_89","West","Laptop","Electronics",8,"3797.00","30376.00","6378.96","0.2100","23997.04","correct"
"ORD0098","2024-12-12","Customer_105","West","Cabinet","Furniture",6,"1270.00","7620.00","838.20","0.1100","6781.80","correct"
"ORD0099","2023-02-25","Customer_177","East","Table","Furniture",10,"3274.00","32740.00","5565.80","0.1700","27174.20","correct"
"ORD0100","2023-08-16","Customer_180","East","Desk","Furniture",1,"3662.00","3662.00","402.82","0.1100","3259.18","correct"
"ORD0101","2023-08-10","Customer_39","West","Cabinet","Furniture",7,"4915.00","34405.00","5160.75","0.1500","29244.25","correct"
"ORD0102","2023-12-22","Customer_128","West","Notebook","Office Supplies",4,"809.00","3236.00","161.80","0.0500","3074.20","correct"
"ORD0103","2023-02-20","Customer_95","West","Cabinet","Furniture",2,"2362.00","4724.00","472.40","0.1000","4251.60","correct"
"ORD0104","2024-08-26","Customer_52","East","Desk","Furniture",4,"618.00","2472.00","98.88","0.0400","2373.12","correct"
"ORD0105","2023-06-03","Customer_187","South","Chair","Furniture",5,"1179.00","5895.00","235.80","0.0400","5659.20","correct"
"ORD0106","2024-10-17","Customer_28","West","Cabinet","Furniture",2,"2595.00","5190.00","1453.20","0.2800","3736.80","correct"
"ORD0107","2023-05-31","Customer_87","South","Table","Furniture",1,"1189.00","1189.00","11.89","0.0100","1177.11","correct"
"ORD0108","2023-11-06","Customer_44","West","Laptop","Electronics",7,"3124.00","21868.00","0.00","0.0000","21868.00","correct"
"ORD0109","2024-12-26","Customer_72","East","Monitor","Electronics",9,"4068.00","36612.00","7688.52","0.2100","28923.48","correct"
"ORD0110","2024-04-28","Customer_158","West","Printer","Electronics",4,"2719.00","10876.00","870.08","0.0800","10005.92","correct"
"ORD0111","2023-07-01","Customer_15","South","Printer","Electronics",9,"1800.00","16200.00","2754.00","0.1700","13446.00","correct"
"ORD0112","2023-08-06","Customer_78","North","Cabinet","Furniture",5,"1812.00","9060.00","2265.00","0.2500","6795.00","correct"
"ORD0113","2024-11-13","Customer_129","West","Mobile","Electronics",5,"748.00","3740.00","523.60","0.1400","3216.40","correct"
"ORD0114","2024-12-03","Customer_151","West","Monitor","Electronics",2,"3201.00","6402.00","384.12","0.0600","6017.88","correct"
"ORD0115","2024-10-10","Customer_38","East","Stapler","Office Supplies",4,"1373.00","5492.00","109.84","0.0200","5382.16","correct"
"ORD0116","2023-08-13","Customer_7","East","Pen","Office Supplies",3,"4568.00","13704.00","137.04","0.0100","13566.96","correct"
"ORD0117","2024-11-14","Customer_174","West","Laptop","Electronics",10,"764.00","7640.00","76.40","0.0100","7563.60","correct"
"ORD0118","2024-11-19","Customer_140","North","Cabinet","Furniture",9,"1079.00","9711.00","2719.08","0.2800","6991.92","correct"
"ORD0119","2023-12-18","Customer_199","South","Printer","Electronics",2,"4939.00","9878.00","1580.48","0.1600","8297.52","correct"
"ORD0120","2023-06-22","Customer_62","East","Pen","Office Supplies",6,"4136.00","24816.00","4466.88","0.1800","20349.12","correct"
"ORD0121","2023-03-30","Customer_60","North","Chair","Furniture",8,"4065.00","32520.00","3252.00","0.1000","29268.00","correct"
"ORD0122","2024-01-05","Customer_136","South","Printer","Electronics",9,"320.00","2880.00","172.80","0.0600","2707.20","correct"
"ORD0123","2024-11-23","Customer_142","West","Stapler","Office Supplies",6,"4275.00","25650.00","1539.00","0.0600","24111.00","correct"
"ORD0124","2024-04-06","Customer_57","West","Laptop","Electronics",10,"3075.00","30750.00","1845.00","0.0600","28905.00","correct"
"ORD0125","2023-12-23","Customer_141","West","Stapler","Office Supplies",2,"1171.00","2342.00","46.84","0.0200","2295.16","correct"
"ORD0126","2023-03-06","Customer_181","West","Notebook","Office Supplies",9,"2481.00","22329.00","2456.19","0.1100","19872.81","correct"
"ORD0127","2023-03-02","Customer_85","West","Cabinet","Furniture",2,"523.00","1046.00","198.74","0.1900","847.26","correct"
"ORD0128","2024-10-19","Customer_9","South","Printer","Electronics",4,"3069.00","12276.00","1473.12","0.1200","10802.88","correct"
"ORD0129","2023-02-28","Customer_67","West","Laptop","Electronics",3,"3127.00","9381.00","562.86","0.0600","8818.14","correct"
"ORD0130","2023-12-24","Customer_67","West","Printer","Electronics",3,"2299.00","6897.00","2000.13","0.2900","4896.87","correct"
"ORD0131","2024-02-07","Customer_31","South","Cabinet","Furniture",2,"4152.00","8304.00","581.28","0.0700","7722.72","correct"
"ORD0132","2024-01-03","Customer_181","West","Stapler","Office Supplies",6,"2631.00","15786.00","631.44","0.0400","15154.56","correct"
"ORD0133","2024-02-15","Customer_113","North","Laptop","Electronics",5,"4147.00","20735.00","1658.80","0.0800","19076.20","correct"
"ORD0134","2023-05-29","Customer_125","South","Pen","Office Supplies",1,"4262.00","4262.00","1150.74","0.2700","3111.26","correct"
"ORD0135","2023-01-27","Customer_173","North","Laptop","Electronics",3,"512.00","1536.00","168.96","0.1100","1367.04","correct"
"ORD0136","2023-08-06","Customer_149","North","Monitor","Electronics",5,"1310.00","6550.00","720.50","0.1100","5829.50","correct"
"ORD0137","2024-12-22","Customer_106","West","Notebook","Office Supplies",7,"403.00","2821.00","620.62","0.2200","2200.38","correct"
"ORD0138","2023-06-08","Customer_50","North","Mobile","Electronics",2,"1696.00","3392.00","678.40","0.2000","2713.60","correct"
"ORD0139","2023-05-17","Customer_197","West","Monitor","Electronics",1,"754.00","754.00","120.64","0.1600","633.36","correct"
"ORD0140","2023-04-14","Customer_29","West","Laptop","Electronics",3,"3484.00","10452.00","1149.72","0.1100","9302.28","correct"
"ORD0141","2024-07-30","Customer_46","East","File","Office Supplies",2,"3065.00","6130.00","122.60","0.0200","6007.40","correct"
"ORD0142","2023-09-06","Customer_108","East","Mobile","Electronics",10,"1819.00","18190.00","2728.50","0.1500","15461.50","correct"
"ORD0143","2024-08-17","Customer_175","North","Printer","Electronics",7,"3336.00","23352.00","4903.92","0.2100","18448.08","correct"
"ORD0144","2023-02-10","Customer_140","North","Chair","Furniture",3,"1738.00","5214.00","1042.80","0.2000","4171.20","correct"
"ORD0145","2023-12-28","Customer_97","South","File","Office Supplies",3,"4725.00","14175.00","567.00","0.0400","13608.00","correct"
"ORD0146","2024-06-14","Customer_180","East","Pen","Office Supplies",7,"3965.00","27755.00","4995.90","0.1800","22759.10","correct"
"ORD0147","2023-12-09","Customer_130","North","Printer","Electronics",8,"1688.00","13504.00","3105.92","0.2300","10398.08","correct"
"ORD0148","2024-06-11","Customer_41","South","Table","Furniture",3,"2783.00","8349.00","166.98","0.0200","8182.02","correct"
"ORD0149","2024-12-06","Customer_109","North","Stapler","Office Supplies",7,"2054.00","14378.00","718.90","0.0500","13659.10","correct"
"ORD0150","2024-07-23","Customer_20","North","Table","Furniture",10,"4490.00","44900.00","449.00","0.0100","44451.00","correct"
"ORD0151","2024-08-19","Customer_90","West","Chair","Furniture",1,"3165.00","3165.00","316.50","0.1000","2848.50","correct"
"ORD0152","2024-06-01","Customer_193","South","Desk","Furniture",7,"1532.00","10724.00","643.44","0.0600","10080.56","correct"
"ORD0153","2023-08-28","Customer_43","South","Desk","Furniture",2,"720.00","1440.00","316.80","0.2200","1123.20","correct"
"ORD0154","2023-07-24","Customer_144","West","Printer","Electronics",7,"1939.00","13573.00","4071.90","0.3000","9501.10","correct"
"ORD0155","2024-06-04","Customer_27","North","Table","Furniture",7,"3276.00","22932.00","6420.96","0.2800","16511.04","correct"
"ORD0156","2024-01-30","Customer_17","West","Cabinet","Furniture",4,"4856.00","19424.00","3302.08","0.1700","16121.92","correct"
"ORD0157","2024-12-10","Customer_49","East","Cabinet","Furniture",10,"1453.00","14530.00","145.30","0.0100","14384.70","correct"
"ORD0158","2024-10-22","Customer_134","South","Notebook","Office Supplies",5,"3217.00","16085.00","3860.40","0.2400","12224.60","correct"
"ORD0159","2023-09-16","Customer_55","West","Stapler","Office Supplies",1,"3352.00","3352.00","402.24","0.1200","2949.76","correct"
"ORD0160","2024-02-04","Customer_86","West","Laptop","Electronics",7,"1869.00","13083.00","915.81","0.0700","12167.19","correct"
"ORD0161","2024-04-07","Customer_12","West","Laptop","Electronics",4,"3931.00","15724.00","3302.04","0.2100","12421.96","correct"
"ORD0162","2023-02-19","Customer_175","North","Printer","Electronics",4,"1348.00","5392.00","1348.00","0.2500","4044.00","correct"
"ORD0163","2023-05-03","Customer_115","South","Mobile","Electronics",6,"1736.00","10416.00","2499.84","0.2400","7916.16","correct"
"ORD0164","2024-04-01","Customer_118","South","Desk","Furniture",4,"3077.00","12308.00","1969.28","0.1600","10338.72","correct"
"ORD0165","2024-05-28","Customer_31","South","Chair","Furniture",9,"354.00","3186.00","828.36","0.2600","2357.64","correct"
"ORD0166","2024-03-10","Customer_158","West","Chair","Furniture",2,"2512.00","5024.00","1004.80","0.2000","4019.20","correct"
"ORD0167","2024-03-10","Customer_84","East","Monitor","Electronics",10,"3970.00","39700.00","1191.00","0.0300","38509.00","correct"
"ORD0168","2023-11-21","Customer_116","West","Mobile","Electronics",2,"2713.00","5426.00","162.78","0.0300","5263.22","correct"
"ORD0169","2024-09-15","Customer_161","North","Mobile","Electronics",3,"1709.00","5127.00","205.08","0.0400","4921.92","correct"
"ORD0170","2024-06-10","Customer_30","West","Cabinet","Furniture",2,"4346.00","8692.00","2607.60","0.3000","6084.40","correct"
"ORD0171","2023-01-06","Customer_54","South","Desk","Furniture",5,"2679.00","13395.00","4018.50","0.3000","9376.50","correct"
"ORD0172","2024-11-16","Customer_95","West","Monitor","Electronics",4,"2286.00","9144.00","274.32","0.0300","8869.68","correct"
"ORD0173","2024-04-13","Customer_25","West","Stapler","Office Supplies",5,"4032.00","20160.00","3427.20","0.1700","16732.80","correct"
"ORD0174","2024-04-28","Customer_179","West","Mobile","Electronics",10,"2542.00","25420.00","508.40","0.0200","24911.60","correct"
"ORD0175","2023-05-22","Customer_92","East","Desk","Furniture",10,"429.00","4290.00","42.90","0.0100","4247.10","correct"
"ORD0176","2023-10-05","Customer_153","West","Desk","Furniture",9,"4758.00","42822.00","1284.66","0.0300","41537.34","correct"
"ORD0177","2024-05-04","Customer_72","East","Stapler","Office Supplies",8,"4693.00","37544.00","7133.36","0.1900","30410.64","correct"
"ORD0178","2024-10-04","Customer_130","North","Desk","Furniture",5,"3493.00","17465.00","4366.25","0.2500","13098.75","correct"
"ORD0179","2024-03-22","Customer_164","East","Chair","Furniture",1,"593.00","593.00","77.09","0.1300","515.91","correct"
"ORD0180","2023-09-03","Customer_60","North","Stapler","Office Supplies",6,"1873.00","11238.00","0.00","0.0000","11238.00","correct"
"ORD0181","2024-03-29","Customer_198","West","Desk","Furniture",5,"4389.00","21945.00","658.35","0.0300","21286.65","correct"
"ORD0182","2024-05-24","Customer_100","West","Printer","Electronics",7,"432.00","3024.00","30.24","0.0100","2993.76","correct"
"ORD0183","2024-06-16","Customer_95","West","Chair","Furniture",5,"3267.00","16335.00","3267.00","0.2000","13068.00","correct"
"ORD0184","2024-04-02","Customer_22","North","Monitor","Electronics",8,"2741.00","21928.00","4166.32","0.1900","17761.68","correct"
"ORD0185","2023-05-04","Customer_105","West","Monitor","Electronics",8,"497.00","3976.00","954.24","0.2400","3021.76","correct"
"ORD0186","2024-11-22","Customer_90","West","Cabinet","Furniture",9,"1330.00","11970.00","1316.70","0.1100","10653.30","correct"
"ORD0187","2023-11-01","Customer_153","West","Stapler","Office Supplies",2,"2855.00","5710.00","456.80","0.0800","5253.20","correct"
"ORD0188","2023-06-12","Customer_63","East","Mobile","Electronics",3,"2398.00","7194.00","1510.74","0.2100","5683.26","correct"
"ORD0189","2023-04-09","Customer_10","West","Stapler","Office Supplies",10,"2499.00","24990.00","5497.80","0.2200","19492.20","correct"
"ORD0190","2023-12-29","Customer_168","West","Stapler","Office Supplies",6,"1791.00","10746.00","429.84","0.0400","10316.16","correct"
"ORD0191","2024-12-31","Customer_190","West","Desk","Furniture",9,"3617.00","32553.00","9440.37","0.2900","23112.63","correct"
"ORD0192","2023-07-01","Customer_131","West","Printer","Electronics",5,"4053.00","20265.00","2634.45","0.1300","17630.55","correct"
"ORD0193","2023-10-04","Customer_165","East","Desk","Furniture",6,"331.00","1986.00","556.08","0.2800","1429.92","correct"
"ORD0194","2024-10-21","Customer_182","East","Stapler","Office Supplies",6,"1421.00","8526.00","170.52","0.0200","8355.48","correct"
